id,name,height,weight,base_experience,types,abilities,stats
16,pidgey,3,18,50,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']","{'hp': 40, 'attack': 45, 'defense': 40, 'special-attack': 35, 'special-defense': 35, 'speed': 56}"
17,pidgeotto,11,300,122,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']","{'hp': 63, 'attack': 60, 'defense': 55, 'special-attack': 50, 'special-defense': 50, 'speed': 71}"
18,pidgeot,15,395,216,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']","{'hp': 83, 'attack': 80, 'defense': 75, 'special-attack': 70, 'special-defense': 70, 'speed': 101}"
19,rattata,3,35,51,['normal'],"['run-away', 'guts', 'hustle']","{'hp': 30, 'attack': 56, 'defense': 35, 'special-attack': 25, 'special-defense': 35, 'speed': 72}"
20,raticate,7,185,145,['normal'],"['run-away', 'guts', 'hustle']","{'hp': 55, 'attack': 81, 'defense': 60, 'special-attack': 50, 'special-defense': 70, 'speed': 97}"
21,spearow,3,20,52,"['normal', 'flying']","['keen-eye', 'sniper']","{'hp': 40, 'attack': 60, 'defense': 30, 'special-attack': 31, 'special-defense': 31, 'speed': 70}"
22,fearow,12,380,155,"['normal', 'flying']","['keen-eye', 'sniper']","{'hp': 65, 'attack': 90, 'defense': 65, 'special-attack': 61, 'special-defense': 61, 'speed': 100}"
23,ekans,20,69,58,['poison'],"['intimidate', 'shed-skin', 'unnerve']","{'hp': 35, 'attack': 60, 'defense': 44, 'special-attack': 40, 'special-defense': 54, 'speed': 55}"
24,arbok,35,650,157,['poison'],"['intimidate', 'shed-skin', 'unnerve']","{'hp': 60, 'attack': 95, 'defense': 69, 'special-attack': 65, 'special-defense': 79, 'speed': 80}"
25,pikachu,4,60,112,['electric'],"['static', 'lightning-rod']","{'hp': 35, 'attack': 55, 'defense': 40, 'special-attack': 50, 'special-defense': 50, 'speed': 90}"
26,raichu,8,300,218,['electric'],"['static', 'lightning-rod']","{'hp': 60, 'attack': 90, 'defense': 55, 'special-attack': 90, 'special-defense': 80, 'speed': 110}"
27,sandshrew,6,120,60,['ground'],"['sand-veil', 'sand-rush']","{'hp': 50, 'attack': 75, 'defense': 85, 'special-attack': 20, 'special-defense': 30, 'speed': 40}"
28,sandslash,10,295,158,['ground'],"['sand-veil', 'sand-rush']","{'hp': 75, 'attack': 100, 'defense': 110, 'special-attack': 45, 'special-defense': 55, 'speed': 65}"
29,nidoran-f,4,70,55,['poison'],"['poison-point', 'rivalry', 'hustle']","{'hp': 55, 'attack': 47, 'defense': 52, 'special-attack': 40, 'special-defense': 40, 'speed': 41}"
30,nidorina,8,200,128,['poison'],"['poison-point', 'rivalry', 'hustle']","{'hp': 70, 'attack': 62, 'defense': 67, 'special-attack': 55, 'special-defense': 55, 'speed': 56}"
31,nidoqueen,13,600,227,"['poison', 'ground']","['poison-point', 'rivalry', 'sheer-force']","{'hp': 90, 'attack': 92, 'defense': 87, 'special-attack': 75, 'special-defense': 85, 'speed': 76}"
32,nidoran-m,5,90,55,['poison'],"['poison-point', 'rivalry', 'hustle']","{'hp': 46, 'attack': 57, 'defense': 40, 'special-attack': 40, 'special-defense': 40, 'speed': 50}"
33,nidorino,9,195,128,['poison'],"['poison-point', 'rivalry', 'hustle']","{'hp': 61, 'attack': 72, 'defense': 57, 'special-attack': 55, 'special-defense': 55, 'speed': 65}"
34,nidoking,14,620,227,"['poison', 'ground']","['poison-point', 'rivalry', 'sheer-force']","{'hp': 81, 'attack': 102, 'defense': 77, 'special-attack': 85, 'special-defense': 75, 'speed': 85}"
35,clefairy,6,75,113,['fairy'],"['cute-charm', 'magic-guard', 'friend-guard']","{'hp': 70, 'attack': 45, 'defense': 48, 'special-attack': 60, 'special-defense': 65, 'speed': 35}"
36,clefable,13,400,217,['fairy'],"['cute-charm', 'magic-guard', 'unaware']","{'hp': 95, 'attack': 70, 'defense': 73, 'special-attack': 95, 'special-defense': 90, 'speed': 60}"
37,vulpix,6,99,60,['fire'],"['flash-fire', 'drought']","{'hp': 38, 'attack': 41, 'defense': 40, 'special-attack': 50, 'special-defense': 65, 'speed': 65}"
38,ninetales,11,199,177,['fire'],"['flash-fire', 'drought']","{'hp': 73, 'attack': 76, 'defense': 75, 'special-attack': 81, 'special-defense': 100, 'speed': 100}"
39,jigglypuff,5,55,95,"['normal', 'fairy']","['cute-charm', 'competitive', 'friend-guard']","{'hp': 115, 'attack': 45, 'defense': 20, 'special-attack': 45, 'special-defense': 25, 'speed': 20}"
40,wigglytuff,10,120,196,"['normal', 'fairy']","['cute-charm', 'competitive', 'frisk']","{'hp': 140, 'attack': 70, 'defense': 45, 'special-attack': 85, 'special-defense': 50, 'speed': 45}"
41,zubat,8,75,49,"['poison', 'flying']","['inner-focus', 'infiltrator']","{'hp': 40, 'attack': 45, 'defense': 35, 'special-attack': 30, 'special-defense': 40, 'speed': 55}"
42,golbat,16,550,159,"['poison', 'flying']","['inner-focus', 'infiltrator']","{'hp': 75, 'attack': 80, 'defense': 70, 'special-attack': 65, 'special-defense': 75, 'speed': 90}"
43,oddish,5,54,64,"['grass', 'poison']","['chlorophyll', 'run-away']","{'hp': 45, 'attack': 50, 'defense': 55, 'special-attack': 75, 'special-defense': 65, 'speed': 30}"
44,gloom,8,86,138,"['grass', 'poison']","['chlorophyll', 'stench']","{'hp': 60, 'attack': 65, 'defense': 70, 'special-attack': 85, 'special-defense': 75, 'speed': 40}"
45,vileplume,12,186,221,"['grass', 'poison']","['chlorophyll', 'effect-spore']","{'hp': 75, 'attack': 80, 'defense': 85, 'special-attack': 110, 'special-defense': 90, 'speed': 50}"
46,paras,3,54,57,"['bug', 'grass']","['effect-spore', 'dry-skin', 'damp']","{'hp': 35, 'attack': 70, 'defense': 55, 'special-attack': 45, 'special-defense': 55, 'speed': 25}"
47,parasect,10,295,142,"['bug', 'grass']","['effect-spore', 'dry-skin', 'damp']","{'hp': 60, 'attack': 95, 'defense': 80, 'special-attack': 60, 'special-defense': 80, 'speed': 30}"
48,venonat,10,300,61,"['bug', 'poison']","['compound-eyes', 'tinted-lens', 'run-away']","{'hp': 60, 'attack': 55, 'defense': 50, 'special-attack': 40, 'special-defense': 55, 'speed': 45}"
49,venomoth,15,125,158,"['bug', 'poison']","['shield-dust', 'tinted-lens', 'wonder-skin']","{'hp': 70, 'attack': 65, 'defense': 60, 'special-attack': 90, 'special-defense': 75, 'speed': 90}"
50,diglett,2,8,53,['ground'],"['sand-veil', 'arena-trap', 'sand-force']","{'hp': 10, 'attack': 55, 'defense': 25, 'special-attack': 35, 'special-defense': 45, 'speed': 95}"
51,dugtrio,7,333,149,['ground'],"['sand-veil', 'arena-trap', 'sand-force']","{'hp': 35, 'attack': 100, 'defense': 50, 'special-attack': 50, 'special-defense': 70, 'speed': 120}"
52,meowth,4,42,58,['normal'],"['pickup', 'technician', 'unnerve']","{'hp': 40, 'attack': 45, 'defense': 35, 'special-attack': 40, 'special-defense': 40, 'speed': 90}"
53,persian,10,320,154,['normal'],"['limber', 'technician', 'unnerve']","{'hp': 65, 'attack': 70, 'defense': 60, 'special-attack': 65, 'special-defense': 65, 'speed': 115}"
54,psyduck,8,196,64,['water'],"['damp', 'cloud-nine', 'swift-swim']","{'hp': 50, 'attack': 52, 'defense': 48, 'special-attack': 65, 'special-defense': 50, 'speed': 55}"
55,golduck,17,766,175,['water'],"['damp', 'cloud-nine', 'swift-swim']","{'hp': 80, 'attack': 82, 'defense': 78, 'special-attack': 95, 'special-defense': 80, 'speed': 85}"
56,mankey,5,280,61,['fighting'],"['vital-spirit', 'anger-point', 'defiant']","{'hp': 40, 'attack': 80, 'defense': 35, 'special-attack': 35, 'special-defense': 45, 'speed': 70}"
57,primeape,10,320,159,['fighting'],"['vital-spirit', 'anger-point', 'defiant']","{'hp': 65, 'attack': 105, 'defense': 60, 'special-attack': 60, 'special-defense': 70, 'speed': 95}"
58,growlithe,7,190,70,['fire'],"['intimidate', 'flash-fire', 'justified']","{'hp': 55, 'attack': 70, 'defense': 45, 'special-attack': 70, 'special-defense': 50, 'speed': 60}"
59,arcanine,19,1550,194,['fire'],"['intimidate', 'flash-fire', 'justified']","{'hp': 90, 'attack': 110, 'defense': 80, 'special-attack': 100, 'special-defense': 80, 'speed': 95}"
60,poliwag,6,124,60,['water'],"['water-absorb', 'damp', 'swift-swim']","{'hp': 40, 'attack': 50, 'defense': 40, 'special-attack': 40, 'special-defense': 40, 'speed': 90}"
61,poliwhirl,10,200,135,['water'],"['water-absorb', 'damp', 'swift-swim']","{'hp': 65, 'attack': 65, 'defense': 65, 'special-attack': 50, 'special-defense': 50, 'speed': 90}"
62,poliwrath,13,540,230,"['water', 'fighting']","['water-absorb', 'damp', 'swift-swim']","{'hp': 90, 'attack': 95, 'defense': 95, 'special-attack': 70, 'special-defense': 90, 'speed': 70}"
63,abra,9,195,62,['psychic'],"['synchronize', 'inner-focus', 'magic-guard']","{'hp': 25, 'attack': 20, 'defense': 15, 'special-attack': 105, 'special-defense': 55, 'speed': 90}"
64,kadabra,13,565,140,['psychic'],"['synchronize', 'inner-focus', 'magic-guard']","{'hp': 40, 'attack': 35, 'defense': 30, 'special-attack': 120, 'special-defense': 70, 'speed': 105}"
65,alakazam,15,480,225,['psychic'],"['synchronize', 'inner-focus', 'magic-guard']","{'hp': 55, 'attack': 50, 'defense': 45, 'special-attack': 135, 'special-defense': 95, 'speed': 120}"
66,machop,8,195,61,['fighting'],"['guts', 'no-guard', 'steadfast']","{'hp': 70, 'attack': 80, 'defense': 50, 'special-attack': 35, 'special-defense': 35, 'speed': 35}"
67,machoke,15,705,142,['fighting'],"['guts', 'no-guard', 'steadfast']","{'hp': 80, 'attack': 100, 'defense': 70, 'special-attack': 50, 'special-defense': 60, 'speed': 45}"
68,machamp,16,1300,227,['fighting'],"['guts', 'no-guard', 'steadfast']","{'hp': 90, 'attack': 130, 'defense': 80, 'special-attack': 65, 'special-defense': 85, 'speed': 55}"
69,bellsprout,7,40,60,"['grass', 'poison']","['chlorophyll', 'gluttony']","{'hp': 50, 'attack': 75, 'defense': 35, 'special-attack': 70, 'special-defense': 30, 'speed': 40}"
70,weepinbell,10,64,137,"['grass', 'poison']","['chlorophyll', 'gluttony']","{'hp': 65, 'attack': 90, 'defense': 50, 'special-attack': 85, 'special-defense': 45, 'speed': 55}"
71,victreebel,17,155,221,"['grass', 'poison']","['chlorophyll', 'gluttony']","{'hp': 80, 'attack': 105, 'defense': 65, 'special-attack': 100, 'special-defense': 70, 'speed': 70}"
72,tentacool,9,455,67,"['water', 'poison']","['clear-body', 'liquid-ooze', 'rain-dish']","{'hp': 40, 'attack': 40, 'defense': 35, 'special-attack': 50, 'special-defense': 100, 'speed': 70}"
73,tentacruel,16,550,180,"['water', 'poison']","['clear-body', 'liquid-ooze', 'rain-dish']","{'hp': 80, 'attack': 70, 'defense': 65, 'special-attack': 80, 'special-defense': 120, 'speed': 100}"
74,geodude,4,200,60,"['rock', 'ground']","['rock-head', 'sturdy', 'sand-veil']","{'hp': 40, 'attack': 80, 'defense': 100, 'special-attack': 30, 'special-defense': 30, 'speed': 20}"
75,graveler,10,1050,137,"['rock', 'ground']","['rock-head', 'sturdy', 'sand-veil']","{'hp': 55, 'attack': 95, 'defense': 115, 'special-attack': 45, 'special-defense': 45, 'speed': 35}"
76,golem,14,3000,223,"['rock', 'ground']","['rock-head', 'sturdy', 'sand-veil']","{'hp': 80, 'attack': 120, 'defense': 130, 'special-attack': 55, 'special-defense': 65, 'speed': 45}"
77,ponyta,10,300,82,['fire'],"['run-away', 'flash-fire', 'flame-body']","{'hp': 50, 'attack': 85, 'defense': 55, 'special-attack': 65, 'special-defense': 65, 'speed': 90}"
78,rapidash,17,950,175,['fire'],"['run-away', 'flash-fire', 'flame-body']","{'hp': 65, 'attack': 100, 'defense': 70, 'special-attack': 80, 'special-defense': 80, 'speed': 105}"
79,slowpoke,12,360,63,"['water', 'psychic']","['oblivious', 'own-tempo', 'regenerator']","{'hp': 90, 'attack': 65, 'defense': 65, 'special-attack': 40, 'special-defense': 40, 'speed': 15}"
80,slowbro,16,785,172,"['water', 'psychic']","['oblivious', 'own-tempo', 'regenerator']","{'hp': 95, 'attack': 75, 'defense': 110, 'special-attack': 100, 'special-defense': 80, 'speed': 30}"
81,magnemite,3,60,65,"['electric', 'steel']","['magnet-pull', 'sturdy', 'analytic']","{'hp': 25, 'attack': 35, 'defense': 70, 'special-attack': 95, 'special-defense': 55, 'speed': 45}"
82,magneton,10,600,163,"['electric', 'steel']","['magnet-pull', 'sturdy', 'analytic']","{'hp': 50, 'attack': 60, 'defense': 95, 'special-attack': 120, 'special-defense': 70, 'speed': 70}"
83,farfetchd,8,150,132,"['normal', 'flying']","['keen-eye', 'inner-focus', 'defiant']","{'hp': 52, 'attack': 90, 'defense': 55, 'special-attack': 58, 'special-defense': 62, 'speed': 60}"
84,doduo,14,392,62,"['normal', 'flying']","['run-away', 'early-bird', 'tangled-feet']","{'hp': 35, 'attack': 85, 'defense': 45, 'special-attack': 35, 'special-defense': 35, 'speed': 75}"
85,dodrio,18,852,165,"['normal', 'flying']","['run-away', 'early-bird', 'tangled-feet']","{'hp': 60, 'attack': 110, 'defense': 70, 'special-attack': 60, 'special-defense': 60, 'speed': 110}"
86,seel,11,900,65,['water'],"['thick-fat', 'hydration', 'ice-body']","{'hp': 65, 'attack': 45, 'defense': 55, 'special-attack': 45, 'special-defense': 70, 'speed': 45}"
87,dewgong,17,1200,166,"['water', 'ice']","['thick-fat', 'hydration', 'ice-body']","{'hp': 90, 'attack': 70, 'defense': 80, 'special-attack': 70, 'special-defense': 95, 'speed': 70}"
88,grimer,9,300,65,['poison'],"['stench', 'sticky-hold', 'poison-touch']","{'hp': 80, 'attack': 80, 'defense': 50, 'special-attack': 40, 'special-defense': 50, 'speed': 25}"
89,muk,12,300,175,['poison'],"['stench', 'sticky-hold', 'poison-touch']","{'hp': 105, 'attack': 105, 'defense': 75, 'special-attack': 65, 'special-defense': 100, 'speed': 50}"
90,shellder,3,40,61,['water'],"['shell-armor', 'skill-link', 'overcoat']","{'hp': 30, 'attack': 65, 'defense': 100, 'special-attack': 45, 'special-defense': 25, 'speed': 40}"
91,cloyster,15,1325,184,"['water', 'ice']","['shell-armor', 'skill-link', 'overcoat']","{'hp': 50, 'attack': 95, 'defense': 180, 'special-attack': 85, 'special-defense': 45, 'speed': 70}"
92,gastly,13,1,62,"['ghost', 'poison']",['levitate'],"{'hp': 30, 'attack': 35, 'defense': 30, 'special-attack': 100, 'special-defense': 35, 'speed': 80}"
93,haunter,16,1,142,"['ghost', 'poison']",['levitate'],"{'hp': 45, 'attack': 50, 'defense': 45, 'special-attack': 115, 'special-defense': 55, 'speed': 95}"
94,gengar,15,405,225,"['ghost', 'poison']",['cursed-body'],"{'hp': 60, 'attack': 65, 'defense': 60, 'special-attack': 130, 'special-defense': 75, 'speed': 110}"
95,onix,88,2100,77,"['rock', 'ground']","['rock-head', 'sturdy', 'weak-armor']","{'hp': 35, 'attack': 45, 'defense': 160, 'special-attack': 30, 'special-defense': 45, 'speed': 70}"
96,drowzee,10,324,66,['psychic'],"['insomnia', 'forewarn', 'inner-focus']","{'hp': 60, 'attack': 48, 'defense': 45, 'special-attack': 43, 'special-defense': 90, 'speed': 42}"
97,hypno,16,756,169,['psychic'],"['insomnia', 'forewarn', 'inner-focus']","{'hp': 85, 'attack': 73, 'defense': 70, 'special-attack': 73, 'special-defense': 115, 'speed': 67}"
98,krabby,4,65,65,['water'],"['hyper-cutter', 'shell-armor', 'sheer-force']","{'hp': 30, 'attack': 105, 'defense': 90, 'special-attack': 25, 'special-defense': 25, 'speed': 50}"
99,kingler,13,600,166,['water'],"['hyper-cutter', 'shell-armor', 'sheer-force']","{'hp': 55, 'attack': 130, 'defense': 115, 'special-attack': 50, 'special-defense': 50, 'speed': 75}"
100,voltorb,5,104,66,['electric'],"['soundproof', 'static', 'aftermath']","{'hp': 40, 'attack': 30, 'defense': 50, 'special-attack': 55, 'special-defense': 55, 'speed': 100}"
101,electrode,12,666,172,['electric'],"['soundproof', 'static', 'aftermath']","{'hp': 60, 'attack': 50, 'defense': 70, 'special-attack': 80, 'special-defense': 80, 'speed': 150}"
102,exeggcute,4,25,65,"['grass', 'psychic']","['chlorophyll', 'harvest']","{'hp': 60, 'attack': 40, 'defense': 80, 'special-attack': 60, 'special-defense': 45, 'speed': 40}"
103,exeggutor,20,1200,186,"['grass', 'psychic']","['chlorophyll', 'harvest']","{'hp': 95, 'attack': 95, 'defense': 85, 'special-attack': 125, 'special-defense': 75, 'speed': 55}"
104,cubone,4,65,64,['ground'],"['rock-head', 'lightning-rod', 'battle-armor']","{'hp': 50, 'attack': 50, 'defense': 95, 'special-attack': 40, 'special-defense': 50, 'speed': 35}"
105,marowak,10,450,149,['ground'],"['rock-head', 'lightning-rod', 'battle-armor']","{'hp': 60, 'attack': 80, 'defense': 110, 'special-attack': 50, 'special-defense': 80, 'speed': 45}"
106,hitmonlee,15,498,159,['fighting'],"['limber', 'reckless', 'unburden']","{'hp': 50, 'attack': 120, 'defense': 53, 'special-attack': 35, 'special-defense': 110, 'speed': 87}"
107,hitmonchan,14,502,159,['fighting'],"['keen-eye', 'iron-fist', 'inner-focus']","{'hp': 50, 'attack': 105, 'defense': 79, 'special-attack': 35, 'special-defense': 110, 'speed': 76}"
108,lickitung,12,655,77,['normal'],"['own-tempo', 'oblivious', 'cloud-nine']","{'hp': 90, 'attack': 55, 'defense': 75, 'special-attack': 60, 'special-defense': 75, 'speed': 30}"
109,koffing,6,10,68,['poison'],"['levitate', 'neutralizing-gas', 'stench']","{'hp': 40, 'attack': 65, 'defense': 95, 'special-attack': 60, 'special-defense': 45, 'speed': 35}"
110,weezing,12,95,172,['poison'],"['levitate', 'neutralizing-gas', 'stench']","{'hp': 65, 'attack': 90, 'defense': 120, 'special-attack': 85, 'special-defense': 70, 'speed': 60}"
111,rhyhorn,10,1150,69,"['ground', 'rock']","['lightning-rod', 'rock-head', 'reckless']","{'hp': 80, 'attack': 85, 'defense': 95, 'special-attack': 30, 'special-defense': 30, 'speed': 25}"
112,rhydon,19,1200,170,"['ground', 'rock']","['lightning-rod', 'rock-head', 'reckless']","{'hp': 105, 'attack': 130, 'defense': 120, 'special-attack': 45, 'special-defense': 45, 'speed': 40}"
113,chansey,11,346,395,['normal'],"['natural-cure', 'serene-grace', 'healer']","{'hp': 250, 'attack': 5, 'defense': 5, 'special-attack': 35, 'special-defense': 105, 'speed': 50}"
114,tangela,10,350,87,['grass'],"['chlorophyll', 'leaf-guard', 'regenerator']","{'hp': 65, 'attack': 55, 'defense': 115, 'special-attack': 100, 'special-defense': 40, 'speed': 60}"
115,kangaskhan,22,800,172,['normal'],"['early-bird', 'scrappy', 'inner-focus']","{'hp': 105, 'attack': 95, 'defense': 80, 'special-attack': 40, 'special-defense': 80, 'speed': 90}"
116,horsea,4,80,59,['water'],"['swift-swim', 'sniper', 'damp']","{'hp': 30, 'attack': 40, 'defense': 70, 'special-attack': 70, 'special-defense': 25, 'speed': 60}"
117,seadra,12,250,154,['water'],"['poison-point', 'sniper', 'damp']","{'hp': 55, 'attack': 65, 'defense': 95, 'special-attack': 95, 'special-defense': 45, 'speed': 85}"
118,goldeen,6,150,64,['water'],"['swift-swim', 'water-veil', 'lightning-rod']","{'hp': 45, 'attack': 67, 'defense': 60, 'special-attack': 35, 'special-defense': 50, 'speed': 63}"
119,seaking,13,390,158,['water'],"['swift-swim', 'water-veil', 'lightning-rod']","{'hp': 80, 'attack': 92, 'defense': 65, 'special-attack': 65, 'special-defense': 80, 'speed': 68}"
120,staryu,8,345,68,['water'],"['illuminate', 'natural-cure', 'analytic']","{'hp': 30, 'attack': 45, 'defense': 55, 'special-attack': 70, 'special-defense': 55, 'speed': 85}"
121,starmie,11,800,182,"['water', 'psychic']","['illuminate', 'natural-cure', 'analytic']","{'hp': 60, 'attack': 75, 'defense': 85, 'special-attack': 100, 'special-defense': 85, 'speed': 115}"
122,mr-mime,13,545,161,"['psychic', 'fairy']","['soundproof', 'filter', 'technician']","{'hp': 40, 'attack': 45, 'defense': 65, 'special-attack': 100, 'special-defense': 120, 'speed': 90}"
123,scyther,15,560,100,"['bug', 'flying']","['swarm', 'technician', 'steadfast']","{'hp': 70, 'attack': 110, 'defense': 80, 'special-attack': 55, 'special-defense': 80, 'speed': 105}"
124,jynx,14,406,159,"['ice', 'psychic']","['oblivious', 'forewarn', 'dry-skin']","{'hp': 65, 'attack': 50, 'defense': 35, 'special-attack': 115, 'special-defense': 95, 'speed': 95}"
125,electabuzz,11,300,172,['electric'],"['static', 'vital-spirit']","{'hp': 65, 'attack': 83, 'defense': 57, 'special-attack': 95, 'special-defense': 85, 'speed': 105}"
126,magmar,13,445,173,['fire'],"['flame-body', 'vital-spirit']","{'hp': 65, 'attack': 95, 'defense': 57, 'special-attack': 100, 'special-defense': 85, 'speed': 93}"
127,pinsir,15,550,175,['bug'],"['hyper-cutter', 'mold-breaker', 'moxie']","{'hp': 65, 'attack': 125, 'defense': 100, 'special-attack': 55, 'special-defense': 70, 'speed': 85}"
128,tauros,14,884,172,['normal'],"['intimidate', 'anger-point', 'sheer-force']","{'hp': 75, 'attack': 100, 'defense': 95, 'special-attack': 40, 'special-defense': 70, 'speed': 110}"
129,magikarp,9,100,40,['water'],"['swift-swim', 'rattled']","{'hp': 20, 'attack': 10, 'defense': 55, 'special-attack': 15, 'special-defense': 20, 'speed': 80}"
130,gyarados,65,2350,189,"['water', 'flying']","['intimidate', 'moxie']","{'hp': 95, 'attack': 125, 'defense': 79, 'special-attack': 60, 'special-defense': 100, 'speed': 81}"
131,lapras,25,2200,187,"['water', 'ice']","['water-absorb', 'shell-armor', 'hydration']","{'hp': 130, 'attack': 85, 'defense': 80, 'special-attack': 85, 'special-defense': 95, 'speed': 60}"
132,ditto,3,40,101,['normal'],"['limber', 'imposter']","{'hp': 48, 'attack': 48, 'defense': 48, 'special-attack': 48, 'special-defense': 48, 'speed': 48}"
133,eevee,3,65,65,['normal'],"['run-away', 'adaptability', 'anticipation']","{'hp': 55, 'attack': 55, 'defense': 50, 'special-attack': 45, 'special-defense': 65, 'speed': 55}"
134,vaporeon,10,290,184,['water'],"['water-absorb', 'hydration']","{'hp': 130, 'attack': 65, 'defense': 60, 'special-attack': 110, 'special-defense': 95, 'speed': 65}"
135,jolteon,8,245,184,['electric'],"['volt-absorb', 'quick-feet']","{'hp': 65, 'attack': 65, 'defense': 60, 'special-attack': 110, 'special-defense': 95, 'speed': 130}"
136,flareon,9,250,184,['fire'],"['flash-fire', 'guts']","{'hp': 65, 'attack': 130, 'defense': 60, 'special-attack': 95, 'special-defense': 110, 'speed': 65}"
137,porygon,8,365,79,['normal'],"['trace', 'download', 'analytic']","{'hp': 65, 'attack': 60, 'defense': 70, 'special-attack': 85, 'special-defense': 75, 'speed': 40}"
138,omanyte,4,75,71,"['rock', 'water']","['swift-swim', 'shell-armor', 'weak-armor']","{'hp': 35, 'attack': 40, 'defense': 100, 'special-attack': 90, 'special-defense': 55, 'speed': 35}"
139,omastar,10,350,173,"['rock', 'water']","['swift-swim', 'shell-armor', 'weak-armor']","{'hp': 70, 'attack': 60, 'defense': 125, 'special-attack': 115, 'special-defense': 70, 'speed': 55}"
140,kabuto,5,115,71,"['rock', 'water']","['swift-swim', 'battle-armor', 'weak-armor']","{'hp': 30, 'attack': 80, 'defense': 90, 'special-attack': 55, 'special-defense': 45, 'speed': 55}"
141,kabutops,13,405,173,"['rock', 'water']","['swift-swim', 'battle-armor', 'weak-armor']","{'hp': 60, 'attack': 115, 'defense': 105, 'special-attack': 65, 'special-defense': 70, 'speed': 80}"
142,aerodactyl,18,590,180,"['rock', 'flying']","['rock-head', 'pressure', 'unnerve']","{'hp': 80, 'attack': 105, 'defense': 65, 'special-attack': 60, 'special-defense': 75, 'speed': 130}"
143,snorlax,21,4600,189,['normal'],"['immunity', 'thick-fat', 'gluttony']","{'hp': 160, 'attack': 110, 'defense': 65, 'special-attack': 65, 'special-defense': 110, 'speed': 30}"
144,articuno,17,554,261,"['ice', 'flying']","['pressure', 'snow-cloak']","{'hp': 90, 'attack': 85, 'defense': 100, 'special-attack': 95, 'special-defense': 125, 'speed': 85}"
145,zapdos,16,526,261,"['electric', 'flying']","['pressure', 'static']","{'hp': 90, 'attack': 90, 'defense': 85, 'special-attack': 125, 'special-defense': 90, 'speed': 100}"
146,moltres,20,600,261,"['fire', 'flying']","['pressure', 'flame-body']","{'hp': 90, 'attack': 100, 'defense': 90, 'special-attack': 125, 'special-defense': 85, 'speed': 90}"
147,dratini,18,33,60,['dragon'],"['shed-skin', 'marvel-scale']","{'hp': 41, 'attack': 64, 'defense': 45, 'special-attack': 50, 'special-defense': 50, 'speed': 50}"
148,dragonair,40,165,147,['dragon'],"['shed-skin', 'marvel-scale']","{'hp': 61, 'attack': 84, 'defense': 65, 'special-attack': 70, 'special-defense': 70, 'speed': 70}"
